RESULTADOS
name,C,max_iter,tol,weight_mode,penalty,loss,dual,multi_class,fit_intercept,intercept_scaling,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,auc_macro_ovr,coef_zero_ratio,train_time_seconds,prediction_time_seconds,prediction_time_per_sample_ms,n_train,n_test,n_features,convergence_warning,tag
baseline_C1_iter10000_balanced_auto,1.0,10000,0.0001,balanced,l2,squared_hinge,auto,ovr,True,1.0,0.6510099168900928,0.3938797309751211,0.4275250790740097,0.3297678468257189,0.6160771373211322,0.6510099168900928,0.592009584974281,0.8652021443396855,0.0,21300.63226878,2.23596637999799,0.0051591048956811,1011271,433402,24,True,baseline
doc_baseline_C1_iter15000_l2_squared_dualFalse_balanced,1.0,15000,0.0001,balanced,l2,squared_hinge,False,ovr,True,1.0,0.6510099168900928,0.3938797309751211,0.4275250790740097,0.3297678468257189,0.6160771373211322,0.6510099168900928,0.592009584974281,0.8652021443396855,0.0,25604.82122687,2.4322328279995418,0.0056119557085558,1011271,433402,24,True,baseline
doc_C01_iter15000_l2_squared_dualFalse_balanced,0.1,15000,0.0001,balanced,l2,squared_hinge,False,ovr,True,1.0,0.647745049630597,0.4763094985237553,0.3992556807708377,0.34008144825368963,0.6221432467126753,0.647745049630597,0.5929234880487689,0.8745143294806109,0.0,20048.410500979,1.9115416659988114,0.0044105510957467,1011271,433402,24,True,baseline
doc_C10_iter15000_l2_squared_dualFalse_balanced,10.0,15000,0.0001,balanced,l2,squared_hinge,False,ovr,True,1.0,0.6509822289698709,0.3935446366567565,0.4273033471938771,0.3293880720667374,0.6160664738395334,0.6509822289698709,0.5919822270913457,0.8607594343866527,0.0,33097.375778054,1.9059824400028447,0.004397724145257393,1011271,433402,24,True,baseline
cpp_sparse_C1_iter15000_l1_squared_dualFalse_balanced,1.0,15000,0.0001,balanced,l1,squared_hinge,False,ovr,True,1.0,0.6511945030249053,0.4284938259835061,0.41044960097899685,0.3193526417596948,0.616269079699868,0.6511945030249053,0.5921939494861924,0.8682658536935436,0.30303030303030304,20381.209356149993,1.8903333400085103,0.0043616165592417905,1011271,433402,24,True,baseline

